id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
printer-20-colop-1_2370,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Negru, Culoare Etichetă: Albastru, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-blue___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=negru&attribute_pa_culoare-eticheta=albastru&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,,"culoare-suport:Alb/Negru:Negru,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Albastru,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
printer-20-colop-1_2363,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Negru, Culoare Etichetă: Negru, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=negru&attribute_pa_culoare-eticheta=negru&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,,"culoare-suport:Alb/Negru:Negru,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Negru,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
printer-20-colop-1_2364,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Alb, Culoare Etichetă: Negru, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=alb&attribute_pa_culoare-eticheta=negru&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-blue___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,default,"culoare-suport:Alb/Negru:Alb,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Negru,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
printer-20-colop-1_2365,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Alb, Culoare Etichetă: Galben, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=alb&attribute_pa_culoare-eticheta=galben&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,,"culoare-suport:Alb/Negru:Alb,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Galben,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
printer-20-colop-1_2366,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Alb, Culoare Etichetă: Alb, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=alb&attribute_pa_culoare-eticheta=alb&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,,"culoare-suport:Alb/Negru:Alb,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Alb,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
printer-20-colop-1_2367,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Alb, Culoare Etichetă: Roșu, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=alb&attribute_pa_culoare-eticheta=rosu&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,,"culoare-suport:Alb/Negru:Alb,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Roșu,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
printer-20-colop-1_2368,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Negru, Culoare Etichetă: Roșu, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=negru&attribute_pa_culoare-eticheta=rosu&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,,"culoare-suport:Alb/Negru:Negru,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Roșu,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
printer-20-colop-1_2369,"Printer 20, CONFORM CU ORIGINALUL,38x14mm, COLOP","Culoare Suport: Negru, Culoare Etichetă: Verde, Model Ștampilă P20: Conf.Cu.Orig.",https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-green___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/p/printer-20-conform-cu-originalul-38x14mm-colop/?attribute_pa_culoare-suport=negru&attribute_pa_culoare-eticheta=verde&attribute_pa_p-20=conformcuoriginalul,"Stampile cu Text Predefinit, Ștampile, Dreptunghiulare, de Birou, Gata de Utilizare","Stampile Rapide",87RON,in stock,printer-20-colop-1_2362,,"https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-black___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-red___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-white___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_white-yellow___COLOP-Printer-20.jpg,https://www.stampilerapide.ro/wp-content/uploads/2020/05/145029_black-black___COLOP-Printer-20.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,87RON,new,published,,,,,,,"culoare-suport:Alb/Negru:Negru,culoare-eticheta:Negru/Galben/Alb/Roșu/Verde/Albastru:Verde,p-20:Conf.Cu.Orig.:Conf.Cu.Orig."
tricou-personalizabil-alb-barbati_2260,"Tricou Personalizabil, Alb, Bărbați","Tricou Personalizabil, Alb, Bărbați",https://www.stampilerapide.ro/wp-content/uploads/2020/07/alb-1.jpg,https://www.stampilerapide.ro/p/tricou-personalizabil-alb-barbati/,"Imagini, Personalizări, Tricouri","Stampile Rapide",79RON,in stock,tricou-personalizabil-alb-barbati_2259,,"https://www.stampilerapide.ro/wp-content/uploads/2020/07/alb-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,79RON,new,published,,,,,,default,
tricou-personalizabil-alb-femei_2258,"Tricou Personalizabil, Alb, Femei","Tricou Personalizabil, Alb, Femei",https://www.stampilerapide.ro/wp-content/uploads/2020/07/alb.jpg,https://www.stampilerapide.ro/p/tricou-personalizabil-alb-femei/,"Imagini, Personalizări, Tricouri","Stampile Rapide",79RON,in stock,tricou-personalizabil-alb-femei_2248,,"https://www.stampilerapide.ro/wp-content/uploads/2020/07/alb.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,79RON,new,published,,,,,,default,
